"config","n","reps","theta_bias","theta_rmse","w_bias","w_rmse","sigma_bias","sigma_rmse","delta_median","delta_iqr","kl_median","pct_delta_up","pct_delta_lo","pct_w_bound","pct_fallback","pct_start_err","ms_per_fit"
"S3 skewed moderate tail",100,1000,-0.0213620069858102,0.280754276366484,-0.00605419334294364,0.0732846930421468,-0.00896274772492443,0.146970215660905,5.67036511064886,5.66602868918439,0.0195676112087628,7.7,0,0.6,0,0,7.5914843082428
"S3 skewed moderate tail",200,1000,0.000969977550441675,0.17059312667313,-0.000924620723401685,0.0450689218752807,-0.00112799600136063,0.101450049427693,5.23871677625323,3.30272560614411,0.00899607980595684,1.4,0,0,0,0,11.5597443580627
"S3 skewed moderate tail",500,1000,-0.00634167522118196,0.104630830770906,-0.00244138182398964,0.0286068774762436,-0.00133396085797002,0.0616881277257267,5.05783589316269,1.53982432682399,0.00336526543770369,0,0,0,0,0,24.2648818492889
"S3 skewed moderate tail",1000,1000,0.00379100613977564,0.0776818670612184,0.00103859888274582,0.0202586236891235,0.00168560525603209,0.0437451788682165,5.04974675461402,1.07760413851043,0.0016975665044472,0,0,0,0,0,45.3324234485626
"S4 skewed Cauchy tail",10,1000,-0.0682808625224559,1.29226619617776,-0.0297512752822314,0.238222806171049,-0.189731621818613,0.751089782120979,1.26031563061744,3.82163633882566,0.373150592983953,18.6,7.8,58,0,0,3.92862010002136
"S4 skewed Cauchy tail",20,1000,-0.0751918092331981,0.749455355785335,-0.020491767909397,0.15130363757457,-0.0672781323202973,0.501426106320007,1.10257423071275,0.87427233802348,0.145076844210615,4.2,1.8,22.5,0,0,4.07919955253601
"S4 skewed Cauchy tail",30,1000,-0.00495436703096223,0.546973285012198,-0.00733825273546181,0.11496968402554,-0.0279624045600365,0.386232863379036,1.03528000635284,0.546752009160455,0.0712895799834881,0.8,0.5,5,0,0,4.46578311920166
"S4 skewed Cauchy tail",50,1000,-0.00214896450351505,0.372935247740933,-0.00694477578668066,0.0870154857010252,-0.0210791859134534,0.282182985337436,1.03902088843405,0.402765567899151,0.0420129673273405,0.2,0,1.5,0,0,5.14102792739868
"S4 skewed Cauchy tail",100,1000,9.62744607418143e-06,0.232847873916887,-0.00313093002884966,0.0563151066685467,-0.0159613833959262,0.190145656687702,0.997843912068707,0.239992447794736,0.0181689525102545,0,0,0,0,0,7.13656640052795
"S4 skewed Cauchy tail",200,1000,-0.00147511451103598,0.15524517734298,-0.00183144715851134,0.0384887840621543,-0.00330090066826515,0.129894125945948,1.00592549751826,0.172863286943493,0.00875490312900869,0,0,0,0,0,11.1385982036591
"S4 skewed Cauchy tail",500,1000,0.00169360071028027,0.0969145564841733,0.00035722950579416,0.022898440911884,0.000369374925398042,0.0787339071626452,1.00538688327548,0.109486900129745,0.00321847096853414,0,0,0,0,0,23.344785451889
"S4 skewed Cauchy tail",1000,1000,-0.0033785513997501,0.0695298293588696,-0.000883242556132226,0.0170060489180667,-0.004965251322699,0.0566279000226908,0.997769844546138,0.0748049412646294,0.00172890209547504,0,0,0,0,0,43.6840889453888
