"config","n","box","reps","nll_median","d_nll_median","d_nll_q95","kl0_median","d_kl0_median","d_kl0_q95","delta_median","pct_delta_up","pct_w_bound","pct_sigma_lo","pct_start_err","pct_fallback","ms_per_fit"
"S4 skewed Cauchy tail",50,"d_max=30                             ",500,132.052731019382,0,0,0.0378417798801932,0,0,0.996809086432318,0,1.2,0,0,0,5.13044261932373
"S4 skewed Cauchy tail",50,"d_max=500                            ",500,132.052731019382,0,0,0.0378417798801932,0,0,0.996809086432318,0,1.2,0,0,0,5.13944530487061
"S4 skewed Cauchy tail",50,"d_min=0.2                            ",500,132.05273102232,0,1.36208520018499e-08,0.0376294908270243,-1.31097029915789e-08,4.46474667432535e-06,0.996805369671572,0,1,0,0,0,5.15186357498169
"S4 skewed Cauchy tail",50,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,132.052731019382,0,0,0.0378417798801932,0,0,0.996809086432318,0,1.2,0,0,0,5.15238761901855
"S4 skewed Cauchy tail",50,"sigma > 1e-3                         ",500,132.05273101925,0,4.70823380283034e-09,0.0378417798801932,0,2.0173191722192e-06,0.9968106445233,0,1.2,0,0,0,5.13589382171631
"S4 skewed Cauchy tail",50,"w[.01,.99]                           ",500,132.052731017442,-5.11590769747272e-13,2.00999224375663e-08,0.037629305185722,1.72932190030568e-08,7.23067343107592e-06,0.99705098673577,0,1.4,0,0,0,5.39203214645386
"S4 skewed Cauchy tail",100,"d_max=30                             ",500,266.610408937126,0,0,0.0175896325040615,0,0,0.978775098837923,0,0,0,0,0,7.35067701339722
"S4 skewed Cauchy tail",100,"d_max=500                            ",500,266.610408937126,0,0,0.0175896325040615,0,0,0.978775098837923,0,0,0,0,0,7.34814739227295
"S4 skewed Cauchy tail",100,"d_min=0.2                            ",500,266.610408937094,-5.85487214266323e-11,1.72040074630785e-08,0.0175893341010359,-2.80877554201253e-09,2.13681300136377e-06,0.978781136115666,0,0,0,0,0,7.31512117385864
"S4 skewed Cauchy tail",100,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,266.610408937126,0,0,0.0175896325040615,0,0,0.978775098837923,0,0,0,0,0,7.35591554641724
"S4 skewed Cauchy tail",100,"sigma > 1e-3                         ",500,266.610408943894,0,1.31195534436301e-08,0.0175896325040615,0,1.34029135073184e-06,0.978774372710062,0,0,0,0,0,7.35998916625977
"S4 skewed Cauchy tail",100,"w[.01,.99]                           ",500,266.610408948316,1.13402620627312e-11,2.10288632729316e-08,0.0175896053254917,-2.05324298119258e-08,2.86115902409876e-06,0.978788651183778,0,0,0,0,0,7.49455451965332
"S4 skewed Cauchy tail",400,"d_max=30                             ",500,1071.04296737145,0,0,0.00446641456829487,0,0,0.997062201031663,0,0,0,0,0,19.8323559761047
"S4 skewed Cauchy tail",400,"d_max=500                            ",500,1071.04296737145,0,0,0.00446641456829487,0,0,0.997062201031663,0,0,0,0,0,19.8462476730347
"S4 skewed Cauchy tail",400,"d_min=0.2                            ",500,1071.04296736957,-2.41016095969826e-11,5.74703449274239e-08,0.00446694043704733,4.32987179530692e-10,9.58120697535248e-07,0.997064323484023,0,0,0,0,0,19.9028429985046
"S4 skewed Cauchy tail",400,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,1071.04296737145,0,0,0.00446641456829487,0,0,0.997062201031663,0,0,0,0,0,19.9062914848328
"S4 skewed Cauchy tail",400,"sigma > 1e-3                         ",500,1071.04296736755,0,2.13986652397578e-08,0.00446665740187743,0,5.66253849959585e-07,0.997063274519501,0,0,0,0,0,19.9120492935181
"S4 skewed Cauchy tail",400,"w[.01,.99]                           ",500,1071.04296734837,-7.27595761418343e-11,5.54579685285716e-08,0.00446655029802877,3.23873439742398e-09,1.10250027825448e-06,0.997062374814305,0,0,0,0,0,20.1233601570129
